school_id,cn_name,en_name,tags,introduction,apply_requirements,objectives,language_requirements,curriculum,success_cases,country
香港理工大学,消防及安全工程学理学硕士,MSc Fire and Safety Engineering,"工科,其他工科,建筑及环境学院",专业方向: 其他工科 入学时间: 9月 项目时长: 1年 项目学费: 202500港币/年,具有荣誉学士学位或同等学历（包括认可的专业资格），需要消防工程、安全工程、建筑服务工程、建筑科学与工程、建造、建筑学、建筑测量、建筑技术、应用科学、工程、物理或化学背景,香港理工大学消防及安全工程学理学硕士课程旨在增进学生的消防及安全工程学专业知识及技术，并培养他们良好的学习态度、学习技巧、智力及想象力。香港理工大学消防及安全工程学理学硕士课程以消防及安全科学及工程学的基础分析及概念发展为主，并提供以工程学表现为本的消防规范等新课题。在安全工程学方面，课程重点在改善建筑安全。内容包括意外预防、危险评估、风险分析、安全管理与审核、施工现场的安全等。香港理工大学消防及安全工程学理学硕士课程不仅适合屋宇设备工程学的毕业生和相关专业人士修读，同时也适合建造业、建筑设计、测量及其他应用科学领域的专业人士。 香港理工大学消防及安全工程学理学硕士课程已获英国特许屋宇设备工程学会CIBSE)认可，为适合已持有工程学荣誉学士学位，或其他认可学位人士修读的课程，以达到UK-SPEC的要求。,{{ per_lang.name }},消防模式 (Fire Modelling) 消防安全管理 (Fire Safety Management) 工程学表现为本消防规范 (Engineering Performance-based Fire Codes) 消防工程系统 (Fire Engineering Systems) 屋宇消防安全设计 (Building Fire Safety Design) 消防危险评估 (Fire Hazard Assessment) 风险分析 (Risk Analysis) 安全管理 (Safety Management) 安全审核  (Safety Auditing ) 意外预防  (Accident Prevention ) 施工现场的安全 (Safety in Construction Sites) 职业健康与人类工程学 (Occupational Health & Ergonomics) 风险评估与控制 (Hazard Assessment & Control) 安全管理系统和安全审计 (Safety Management Systems & Safety Auditing) 论文 (Dissertation),,hongkong,香港理工大学_消防及安全工程学理学硕士.json
香港大学,法学硕士（常规或小方向）,LLM (General or with Specialisation),"社科,法律,法学院",专业方向: 法律 入学时间: 9月 项目时长: 1年 项目学费: 220000港币/年,具有法律学士学位或同等学历，至少达到二等荣誉学位；或 通过英格兰与威尔士普通职业考试或大学普通职业考试，并具有学士学位或同等学历且达到二等荣誉学位 Medical Ethics and Law以及Competition Law and Policy方向还可接受以下情况的申请者：具有法律以外学科的学士学位或同等学历并达到二等荣誉学位，并且具备至少2年相关经验或专业资格,香港大学法学硕士课程由香港大学法学院开设，旨在满足法律各专业领域的需求，同时对香港发展起着重要作用。鉴于香港独特的地理位置，香港大学法律硕士学位课程为来自香港内外的学生提供模块化的教学。目前提供的课程模块主要包括国际贸易法、商法、中国法、信息技术法、知识产权法以及公法（包括人权法）。香港大学法学硕士学位课程在融洽、愉快而又国际化的氛围中，给予学生足够的自由度来培养自身法律兴趣与提升专业知识。,{{ per_lang.name }},"中国法律和法律制度入门 (Introduction to Chinese law and legal system) 中华人民共和国公司法与证券交易法 (Company law and securities regulation in the People's Republic of China) 中国法律研讨会 (Advanced seminar on Chinese law) 银行法 (Banking law) 国际金融法（一） (Law of international finance 1) 竞争、兼并和收购 (Competition, mergers and acquisitions) 刑事司法和人权 (Criminal justice and human rights) 发展与人权 (Development and human rights) 国际人道主义法律 (International humanitarian law) 知识产权与信息技术 (Intellectual property and information technology) 国际与比较知识产权法 (International and comparative intellectual property law) 中华人民共和国信息技术法 (PRC information technology law) 法律、司法和意识形态 (Law, justice & ideology) 国际商事仲裁 (International commercial arbitration) 在线纠纷解决 (Online dispute resolution)",,hongkong,香港大学_法学硕士（常规或小方向）.json
香港理工大学,创新多媒体娱乐理学硕士,MSc Innovative Multimedia Entertainment,"工科,计算机,设计学院",专业方向: 计算机 入学时间: 9月 项目时长: 1年 项目学费: 240000港币/年,具有学士学位，优先考虑具备相关领域背景的申请者 入围的申请者需要提交作品集,香港理工大学创新多媒体娱乐理学硕士学位课程适合热衷于开拓数码娱乐业的人士。香港理工大学创新多媒体娱乐理学硕士学位课程旨在透过探索与参与跨学科的媒体应用及相关科技，开拓学员的创意空间。经过理论与实践，课程鼓励学员重新定位媒体对人们日常生活的影响。香港理工大学创新多媒体娱乐理学硕士学位课程内容由嵌入式系统的人机接口开发开始，伸延至具创意的数码娱乐内容设计。理大创新多媒体娱乐理学硕士学位课程除包括动画制作、游戏设计及在线娱乐等方面，同时也让学员从设计层面上领略创新的可贵，为未来的数码娱乐业路向铺路。,{{ per_lang.name }},多媒体与娱乐产业产品生产过程 (Production Processes in Multimedia and Entertainment) 工程管理成功要素 (Successful Project Management) 创新多媒体项目开发 I (Innovative Multimedia Project Development I) 创新多媒体项目开发 II (Innovative Multimedia Project Development II ) 创造力恢复 (Recovering Creativity) 新媒体设计与技术全球化 (Globalization in New Media Design and Technology) 游戏设计 (Game Design) 游戏开发 (Game Development) 数字多媒体产业的新兴多媒体技术 (Emerging Multimedia Technologies for Digital Media Industry) 数字媒体新机遇 (New Opportunities in Digital Media) 设计心理学 I (Psychology of Design I) 设计心理学 II (Psychology of Design II) 概念艺术与概念创造 (Concept Art & Production) 数字娱乐营销管理 (Marketing Management for Digital Entertainment) 交互多媒体环境 (Interactive Mulitmedia Environment),,hongkong,香港理工大学_创新多媒体娱乐理学硕士.json
香港中文大学,公共政策文学硕士（CUHK-Shenzhen）,MA Public Policy (CUHK-Shenzhen),"社科,公共政策与事务,深圳校区",专业方向: 公共政策与事务 入学时间: 9月 项目时长: 1年 项目学费: 180000人民币/年,申请者需要具有社会科学类专业背景，英语能力突出，在人文社科领域具备一定学术基础 毕业于认可的大学并获得学士学位，需要提供B等级证明 或在高等教育机构完成了学业并且获得了与荣誉学位相当的职业资格或类似资格,香港中文大学（深圳）公共政策硕士项目由具有多年科研经验与实践经验的专家及学者授课，学生将通过国际化的课程设置、双语授课、严谨的学术训练及实践，全面系统的理解国际及中国的公共政策领域相关知识，成为公共管理、政策研究、全球研究、经济及其他相关领域的国际型人才。,{{ per_lang.name }},"公共政策：范围与实践 (Public Policy: Scope and Issues) 公共管理 (Public Management) 政策分析方法论 (Methodology for Policy Analysis) 政策分析实践 (Policy Analysis Project (PAP)) 城市与社会政策 (Urban and Social Policy Design) 治理与可持续发展 (Governance and Sustainable Development) 国际政治经济发展 (International Political Economy of Development) 公共选择：理性与决策 (Public Choice: Rationality and Decision-making) 财政治理与预算 (Fiscal Governance and Budgeting) 公共行政、技术与创新 (Public Administration, Technology and Innovation)  领导力与决策力 (Leadership and Decision-Making Skills) 外交政策分析 (Foreign Policy Analysis) 当代中国公共治理与政策制定 (Public Governance and Policy-Making in Contemporary China) 公共政策专题讨论 (Seminar on Selected Topics of Public Policy) 东亚政治和经济 (East Asian Politics and Economics) 健康经济学和卫生政策 (Health Economics and Health Policy) 转型发展的政治经济学 (Political Economy of Transition and Economic Development ) 高级研究方法 (Advanced Research Methods) 全球商业与公共政策专题讨论 (Seminar on Selected Topics of Global Business and Public Policy) 空间分析与公共政策 (Spatial Analysis and Public Policy) 创意城市与文化产业 (Creative Cities and Cultural Industries)",,hongkong,香港中文大学_公共政策文学硕士（CUHK-Shenzhen）.json
香港浸会大学,数据分析与商业经济理学硕士,MSc Data Analytics and Business Economics,"理科,数据科学,商学院",专业方向: 数据科学 入学时间: 9月 项目时长: 1年 项目学费: 278000港币/年,具有认可大学颁发的学士学位或同等学历，学术成绩优秀，申请者需要具有商科或非商科领域的本科学位并接受过良好的定量培训,香港浸会大学数据分析与商业经济理学硕士项目提供商业经济分析和数据分析方面的扎实培训。除了核心基础课程外，通过选修各种应用选修课，学生们将接受使用相关数据分析商业经济问题的培训。 该课程的一个显著特点是在商业经济知识、统计模型和编程技能方面进行平衡的培训。具体而言，该方案旨在培训： 具备分析能力的专业人士：该课程提供各种数据分析课程，辅以相关统计知识、编程技能和真实商业案例。学生们可以应用这些技术技能来分析解决手头数据中的业务问题。 熟练的数据策略师：该课程还提供有关商业战略最新经济原则、智能城市发展挑战和未来前景的课程。具备批判性思维和数据科学知识的学生可以充当潜在客户的界面，并将项目需求转化为可管理的数据科学项目子任务。,{{ per_lang.name }},"管理经济与商务策略 (Managerial Economics and Business Strategy) 大数据分析基础：概念与技术 (Foundations in Big Data Analytics: Concepts and Techniques) 大数据分析基础：编程 (Foundations in Big Data Analytics: Programming) 数据科学统计学 (Statistics for Data Science) 执行工作坊系列 (Executive Workshop Series) 商业经济学实习 (Business Economics Internship) 商业人工智能 (Artificial Intelligence for Business) 数据保护的法律与经济学 (Law and Economics of Data Protection) 数据分析项目 (Projects for Data Analytics) 应用成本效益分析 (Applied Cost-Benefit Analysis) 数字市场经济学 (Economics of Digital Markets) 数据可视化与故事讲述 (Data Visualization with Story-telling) 空间、文本与社交网络数据分析 (Analytics for Spatial, Textual and Social Network Data) 数据驱动决策 (Data-driven Decision Making) 大数据商业与经济预测 (Business and Economic Forecasting with Big Data)",,hongkong,香港浸会大学_数据分析与商业经济理学硕士.json
香港大学,人工智能理学硕士,MSc Artificial Intelligence,"工科,计算机,理学院",专业方向: 计算机 入学时间: 9月 项目时长: 1.5年 项目学费: 240000港币/年,具有学士学位或同等学历，具备线性代数、微积分、概率论、统计学入门和计算机编程知识,香港大学人工智能理学硕士项目是由数学系(主办)、统计与精算科学系和计算机科学系联合开设的一门跨学科授课的研究生课程。该课程旨在为毕业生提供人工智能原理和实践方面的培训。候选人应具备线性代数、微积分、概率论、统计学入门和计算机编程等方面的知识。,{{ per_lang.name }},人工智能基础 (Foundations of artificial intelligence) 人工智能优化 (Optimization in artificial intelligence) 人工智能中的数值方法 (Numerical methods in artificial intelligence) 人工智能统计学 (Statistics in artificial intelligence) 应用数据挖掘与文本分析 (Applied data mining and text analytics) 计算智能与机器学习 (Computational intelligence and machine learning) 深度学习 (Deep learning) 高级数值分析专题 (Topics in advanced numerical analysis) 人工智能与机器学习专题 (Topics in artificial intelligence and machine learning) 计算统计学 (Computational statistics) 数据科学编程 (Programming for data science) 无人系统概论 (Introduction to unmanned systems) 量子计算与人工智能 (Quantum computing and artificial intelligence) 人工智能项目 (Artificial intelligence project),,hongkong,香港大学_人工智能理学硕士.json
香港理工大学,电动汽车理学硕士,MSc Electric Vehicles,"工科,电气电子,工程学院",专业方向: 电气电子 入学时间: 9月 项目时长: 1.5年 项目学费: 176000港币/年,具有学士学位，需要电气工程、电子工程、自动化工程、交通运输工程、工程科学或相关学科背景，具有其他学科学士学位并在电动汽车领域具备至少3年重要相关工作经验的申请者也将被考虑 没有荣誉学位但具有其他相关资格和/或适当工作经验的申请者也将被考虑 个别情况下学院会根据个案考虑，申请者可能需要参加面试或笔试以进一步证明他们的语言能力,香港理工大学电动汽车理学硕士学位课程旨在 (1) 让毕业生全面了解电动车，包括研究和实际应用。通过课程，学生可深入了解电动车各方面的知识，包括设计、技术、解决能源方案和管理；(2) 满足电动车行业对高技术专业人员日益增长的需求，不仅在中国香港，而且涵盖全球。透过为学生提供专业知识和实践技能，课程旨在满足行业对高技术专业人员增长需求和采纳对电动车的解决方案；(3) 让学生在电动车领域上作进一步学习和研究。,{{ per_lang.name }},电动汽车 (Electric Vehicles) 电动汽车未来领导者 (Tomorrow’s Leader in Electric Vehicles) 驱动器 (Intelligent Motion Systems) 工业电力电子 (Industrial Power Electronics) 系统建模与最优控制 (System Modelling and Optimal Control) 维护与可靠性工程 (Maintenance and Reliability Engineering) 现代发电与电网集成技术 (Modern Generation and Grid Integration Technologies) 电动车储能与新能源 (Electric Energy Storage and New Energy Sources for Electric Vehicles) 高级电动汽车技术 (Advanced Electric Vehicle Technology) 物联网工具与应用 (IoT-Tools and Applications) 车辆通信与互联网络技术 (Vehicular Communications and Inter-Networking Technologies) 自动驾驶车辆 (Autonomous Vehicles) 电力系统与电气化运输的经济学与市场学 (Economics and Markets in Power Systems and Electrified Transportation) 电气工程中的绿色技术与政策 (Green Technology and Policy in Electrical Engineering) 智慧城市中的智能交通 (Intelligent Transportation in Smart City),,hongkong,香港理工大学_电动汽车理学硕士.json
香港大学,翻译文学硕士,MA Translation,"社科,语言,文学院",专业方向: 语言 入学时间: 9月 项目时长: 1年 项目学费: 222000港币/年,具有认可大学颁授的学士学位或同等学历 学校也可能考虑具有同等专业资格的申请者,香港大学翻译文学硕士课程旨在培养学生从事笔译、口译、文案、编辑、语文教师和学术研究等职业的能力，重点是香港的翻译和口译市场及其独特的学术惯例，融合了中西方研究的见解。翻译课程提供实践和学术培训，教授商业、法律、媒体和公共行政翻译技巧，以及翻译的文化、语言和一般理论方面。口译课程侧重于会议和法律口译技能，这对于香港的私营和公共部门都至关重要。,{{ per_lang.name }},高级翻译研究 (Advanced Translation Studies) 翻译方法 (Approaches to Translation) 口译概论 (Introduction to Interpreting) 译者语言对比 (Language Contrast for Translators) 文化与翻译 (Culture and Translation) 政府与商业文本翻译 (Translation of Government and Commercial Texts) 法律翻译 (Legal Translation) 大众传媒翻译 (Mass Media Translation) 英粤会议口译 (English-Cantonese Conference Interpreting) 英粤法律口译 (English-Cantonese Legal Interpreting) 音乐作品与歌词翻译 (Translation of Music Writings and Lyrics) 顶点体验：笔译/口译项目 (Capstone Experience: Translation / Interpreting Project),,hongkong,香港大学_翻译文学硕士.json
香港恒生大学,创业管理理学硕士,MSc Entrepreneurial Management,"商科,创业与创新,商学院",专业方向: 创业与创新 入学时间: 1/9月 项目时长: 1年 项目学费: 189000港币/年,具有受认证大学的学士学位或同等学历,香港恒生大学创业管理理学硕士课程旨在为学生提供开办和管理新企业和创业组织的基本知识和技能。该课程旨在为有志于开办和管理自己的企业、在大型机构和中小型企业中担当企业家角色，以及在充满活力的商业环境中支持初创企业发展的人士提供一个优秀的学习途径。该方案还将为那些想在商业、管理和创业领域进行研究的人提供坚实的基础。,{{ per_lang.name }},创业会计与商业策划 (Accounting and Business Planning for Entrepreneurs) 创造力与创业 (Creativity and Entrepreneurship) 创业与公司金融 (Entrepreneurial and Corporate Finance) 创业营销 (Entrepreneurial Marketing) 亚洲家族企业 (Asian Family Business) 数字与网络营销 (Digital and Cyber Marketing) 创新管理 ( Innovation Management) 领导与管理创业公司 (Leading and Managing Entrepreneurial Firms) 创业管理专题 (Special Issues in Entrepreneurial Management) 创业管理理学硕士项目 (MSc Project in Entrepreneurial Management),,hongkong,香港恒生大学_创业管理理学硕士.json
香港城市大学,传播与新媒体文学硕士,MA Communication and New Media,"社科,新媒体,人文与社会科学学院",专业方向: 新媒体 入学时间: 9月 项目时长: 1年 项目学费: 216000港币/年,具有认可大学颁发的学士学位或同等学历，最好在传播领域（如新媒体、电视、广播、报纸、广告、公共关系等）拥有至少一年的专业经验,香港城市大学传播与新媒体硕士学位课程创办于1998年，旨在为媒体、其他行业和机构培训专业人员，包括：大众媒体、广告、公共关系、市场营销、企业传播、政府或非盈利组织传播、网络和多媒体制作与传播、移动媒体等与传播相关的行业提供人类传播理论和尖端媒体技术的高级培训。,{{ per_lang.name }},传播原理 (Communication Fundamentals) 传播学与新媒体研究方法 (Research Methods for Communication and New Media) 互联网传播 (Internet Communication) 毕业项目 (Capstone Project) 传播社会网络分析 (Social Network Analysis for Communication) 社交媒体数据获取与处理 (Social Media Data Acquisition and Processing) 媒体数据分析 (Media Data Analytics) 媒体经济与管理 (Media Economics and Management) 整合营销传播 (Integrated Marketing Communication) 专业沟通技巧 (Professional Communication Skills) 新媒体心理处理 (Psychological Processing of New Media) 公众传播活动管理 (Public Communication Campaign Management) 传播研究研讨会 (Communication Research Seminar) 广告制作与管理 (Advertising Production and Management) 公共关系策略 (Public Relations Strategies) 危机传播与管理 (Crisis Communication and Management) 多媒体传播 (Multimedia Communication) 动态网络通信 (Dynamic Web Communication) 高级多媒体传播 (Advanced Multimedia Communication) 电子营销数字媒体 (Digital Media for E-marketing) 指导研究 (Directed Studies) 论文 (Dissertation) 专业见习 (Professional Internship) 多媒体实习 (Multimedia Practicum) 数字时代的全球媒体 (Global Media in the Digital Era) 新媒体政策与法规 (Policy and Regulations of New Media) 数字视觉媒体 (Digital Visual Media),,hongkong,香港城市大学_传播与新媒体文学硕士.json
香港大学,社会数据分析社会科学硕士,MSocSc Social Data Analytics,"理科,数据科学,社会科学学院",专业方向: 数据科学 入学时间: 9月 项目时长: 1年 项目学费: 262500港币/年,申请者最好具有以下社会科学领域之一的学士学位：人类学、认知科学、传播学、经济学、教育研究、民族研究、语言学、政治学、心理学、社会学、城市研究与规划或密切相关领域； 并且最好接受过统计学和/或形式逻辑方面的先前培训或具有一个或多个技术领域的先前经验（包括编程、统计、形式逻辑、微积分、线性代数等）,社会数据分析（SDA）是指对人类和社会互动产生的大型或复杂数据进行分析，更侧重于社会科学数据和理论。香港大学社会数据分析社会科学硕士项目满足了本科生日益增长的需求，即获取利用现代计算建模方法和大型自然数据集来揭示人们在群体、市场和国家中如何思考、决策和行动所需的技术和分析技能。它旨在提供行业和博士课程都高度寻求的技能。 香港大学社会数据分析社会科学硕士项目汇集了整个社会科学学院的计算研究专业知识，为学生提供定量、计算和数据分析技能以及将其适当和创新地应用于社会科学问题的洞察力，并为学生从事学术研究职业做好准备、非政府组织和政府机构工作、商业、广告和营销以及整个知识经济领域的其他工作，需要将社会科学领域的专业知识与计算系统中的大型数据集相结合。,{{ per_lang.name }},"社交数据分析入门 (Introduction to Social Data Analytics) 统计基础 (Statistical Foundations) 机器学习 (Machine Learning) 社会科学中的研究设计与推理 (Research Design and Inference in the Social Sciences) 面向社会科学家的编程 (Programming for Social Scientists) 大数据解决社会问题 (Big Data Solutions to Social Problems) 用基于主体的模型模拟人类行为 (Simulating Human Behaviours with Agent-Based Models) 文本作为数据：自然语言处理与社会研究 (Text as Data: Natural Language Processing and Social Research) 社会网络分析 (Social Network Analysis) 媒体数据分析 (Media Data Analysis) 地理空间数据的机器学习 (Machine Learning for Geospatial Data) 用于地理空间数据分析的云计算 (Cloud Computing for Geospatial Data Analytics) 网络地理信息系统 (Web Gis) 行为健康的科学探究与研究方法 (Scientific Inquiry and Research Methods in Behavioral Health) 媒体、文化和创意城市的研究方法 (Research Methods in Media, Culture and Creative Cities) 定性研究方法 (Qualitative Research Methods) 数据仓库和数据挖掘 (Data Warehousing and Data Mining) 信息行为 (Information Behaviour) 数据管理 (Data Curation)",,hongkong,香港大学_社会数据分析社会科学硕士.json
香港科技大学,公共政策硕士,Master of Public Policy,"社科,公共政策与事务,跨学科学院",专业方向: 公共政策与事务 入学时间: 9月 项目时长: 2年 项目学费: 154000港币/年,具有学士学位或同等学历，至少达到二等荣誉学位 不强制要求但是建议提交GMAT/GRE 有相关工作或实习经验者优先考虑申请者可能需要接受面试,香港科技大学公共政策硕士项目是一个跨学科的项目，使学生掌握科学和技术创新的全面影响的知识，以及制定和实施创新解决方案以应对当前和新兴全球挑战的专业技能。它为学生提供完整的专业培训，重点是以现实世界的案例和实例来解决问题的技能，如信息技术和电信、环境、能源、医疗保健、交通和金融。该项目强调知识、分析技能和管理能力，这些都是可以在不同部门、问题领域和全球区域高度转移的。 香港科技大学公共政策硕士项目的毕业生可以在各种组织中担任分析师、经理、研究人员和顾问，包括政府机构、非营利组织和私营企业。该项目提供的培训对寻求在科技进步的前沿行业，如信息技术和电信、环境、能源、卫生保健、交通和金融等行业发展事业的政策专业人员特别有意义。,{{ per_lang.name }},公共政策基础 (Foundation in Public Policy) 微观经济学与公共政策 (Microeconomics and Public Policy) 定量分析与实证方法 (Quantitative Analysis and Empirical Methods) 公共政策分析 (Public Policy Analysis) 公共政策中的证据 (Evidence in Public Policy) 公共管理与领导力 (Public Management and Leadership) 政策分析项目 (Policy Analysis Project),,hongkong,香港科技大学_公共政策硕士.json
香港城市大学,化学理学硕士,MSc Chemistry,"理科,化学,理学院",专业方向: 化学 入学时间: 9月 项目时长: 1年 项目学费: 186000港币/年,具有学士学位或同等学历，需要相关科学学科背景，如化学、材料科学、分子生物学 或具备学校接受的学术和专业成就证明 优先考虑目前在测试和认证服务领域工作的申请者,香港城市大学理学硕士（化学）学位课程提供众多高端化学学科，如催化，合成化学，材料&生物材料化学，分析&生物分析科学，计算化学，环境化学和化学生物学，旨在培养具备市场营销策略和经验的毕业生，以满足地方和全球工业，商业以及政府部门对研发专员的需求。学生也可以在当地和海外大学以及研究机构追求更高的研究学位。,{{ per_lang.name }},"先进化工仪表 (Advanced Chemical Instrumentation) 化学生物学前沿 (Frontiers in Chemical Biology) 化学&分子科学专论 (Selected Topics in Chemistry &Molecular Sciences) 学术和工业研究，发展，创新 (Academic and Industrial Research,Development and Innovation) 高端研讨会系列 (Advanced Seminar Series) 硕士研讨会 (Postgraduate Symposium) 论文 (Dissertation)",,hongkong,香港城市大学_化学理学硕士.json
香港大学,地理空间数据科学理学硕士,MSc Geospatial Data Science,"理科,数据科学,社会科学学院",专业方向: 数据科学 入学时间: 9月 项目时长: 1年 项目学费: 250000港币/年,具有学士学位或同等学历，需要适当学科背景,香港大学地理空间数据科学理学硕士项目旨在满足大数据时代对专业人员不断增长的需求，提供地理空间理论、技术和应用方面的高级教育和培训，使学生能够解决不同的环境、社会和经济问题并为可持续社区做出贡献。 香港大学地理空间数据科学理学硕士项目建立在多学科基础上，融合了不同学科的专业知识，提供全面的学习体验。该课程强调先进的计算、分析和大数据科学技术，为学生提供解决公共、私营和非营利部门现实世界挑战所需的工具和知识。一些关键重点领域包括遥感、地理信息系统 (GIS)、机器学习、用于大数据探索、可视化、建模和分析的人工智能 (AI)。通过保持理论与实践之间的平衡，该计划使学生能够开发超越传统方法的复杂问题的创新解决方案。,{{ per_lang.name }},地理空间数据科学导论 (Introduction to Geospatial Data Science) 空间分析的地理信息系统 (Geographic Information System for Spatial Analysis) 空间统计 (Spatial Statistics) 卫星数据处理与信息提取 (Satellite Data Processing and Information Extraction) 地理空间数据编程 (Programming for Geospatial Data) 大数据分析 (Big Data Analytics) 地理空间数据的机器学习 (Machine Learning for Geospatial Data) 无人机和数据收集 (Drones and Data Collection) 用于地理空间数据分析的云计算 (Cloud Computing for Geospatial Data Analytics) 网络地理信息系统 (Web GIS) 气候变化的地理空间数据 (Geospatial Data for Climate Change) 促进可持续发展的地理空间数据 (Geospatial Data for Sustainable Development) 土地覆盖和土地利用 (Land Cover and Land Use) 大数据解决社会问题 (Big Data Solutions To Social Problems) 社会网络分析 (Social Network Analysis),,hongkong,香港大学_地理空间数据科学理学硕士.json
香港浸会大学,公共管理硕士,Master of Public Administration,"社科,公共政策与事务,人文与社会科学学院",专业方向: 公共政策与事务 入学时间: 9月 项目时长: 1年 项目学费: 189600港币/年,具有认可大学或类似机构颁发的学士学位或同等学历，不限专业背景,香港浸会大学公共管理硕士课程旨在为学生在公共管理领域打下坚固的基础；说明与法律、道德和公共事务其他方面的关系；培养学生管理人力资源、财务、体育和公共设施的能力；使学生成为反思性和批判性的管理者，能够评估和应对社会不断变化的需求。,{{ per_lang.name }},"公共管理与媒体 (Public Administration and the Media) 公共部门金融与会计 (Finance and Accounting for the Public Sector) 公共政策经济学 (Economics of Public Policy) 公共部门人员管理 (Managing People in the Public Sector) 全球化和世界贸易组织 (Globalisation and World Trade Organisation) 法律和公共事务 (Law and Public Affairs) 公共管理 (Public Administration ) 公共管理研究方法 (Research Methods for Public Administration) 公共部门金融与会计 (Finance and Accounting for the Public Sector) 公共政策经济学 (Economics of Public Policy) 培育规划和管理 (Programme and Event Planning and Management ) 电子政务 (E-Government ) 现场学习公共管理 (Fieldwork Learning in China Public Administration ) 争论国际社会 (Debating Global Society) 全球研究概念，理论和体系 (Concepts, Theories and Institutions of Global Studies )",,hongkong,香港浸会大学_公共管理硕士.json
香港大学,中国历史研究文学硕士,MA Chinese Historical Studies,"社科,历史,文学院",专业方向: 历史 入学时间: 9月 项目时长: 1年 项目学费: 222000港币/年,具有认可大学颁授的学士学位或同等学历，不限专业背景,香港大学中国历史研究文学硕士课程由著名学者、业界专家及中文学院老师讲授。课程充分利用学院丰厚的资源，务求达到传承中国文化，培养历史专才的教学目的。课程内容涵盖广阔，学术、趣味与实用兼备，包括中国朝代史、中国近现代史、中国学术文化史及相关的专题史，对学员自身进修及提升专业学历都有莫大裨益，欢迎中国历史与文化喜好者、教育及文化工作者及终身学习追求者报读，课程具有以下特点：课程内容深入、广泛，涵盖中国历史与文化的相关范畴，部分科目更为全港独有；教师团队由知名学者及本学院老师组成，教学经验丰富、教学成效卓越；重视培养学员的学科素养及独立分析、评价等能力；学科选择、上课时间均具弹性，暑期无须上课；提供学术与趣味兼备的实地考察与参观，学以致用；委任专责老师撰写毕业论文，或在老师指导下完成总结作品集，借以培养学员的研究能力；优异的毕业论文（A–等级或以上），有机会入藏香港大学图书馆；课程设有多个奖项，奖励学习表现优异的学员，学员总成绩取得优等，亦会于大学毕业证书列出；课程设有「中国历史研究文科硕士入学奖学金」、「中国历史研究文科硕士奖」和「中国历史研究文学硕士课程同学会奖学金」，嘉许成绩优异的同学；获颁奖项会于学业成绩表列出。 2018/19学年始，中国历史已成为香港初中的独立必修科。修读香港大学中国历史研究文学硕士将有助教师藉此提升中国历史素养、掌握历史资料、增进历史知识、加强教学成效。2023/24学年起增设一年全日制课程，让本地及中外人士在拥有独特中国历史与文化地位的香港、享誉国际的百年港大，研修中国历史与文化。,{{ per_lang.name }},帝制中国：专题史研究 (Imperial China: Thematic Studies) 二十世纪中国：专题史研究 (Twentieth-Century China: Thematic Studies)  中国教育与考试史 (Education and Examination: the Chinese Experience)  海外华侨华人史 (Chinese Migration History: Inland and Overseas) 中国史学史 (Chinese Historiography) 中国史研究新视角 (New Approaches to Chinese History) 中文文献资料入门 (An Introduction to Documentary Sources in Chinese) 中文档案资料入门 (An Introduction to Archival Sources in Chinese) 中国先秦思想史 (Intellectual History of Pre-Qin China) 中国历史教育史 (History Education: the Chinese Experience) 中国历史地理学 (The Historical Geography of China) 1842年以来的香港 (Hong Kong since 1842) 经学专题研究 (Special Topics in Confucian Classics) 中国文化专题研究 (Special Topics in Chinese Culture) 中国传统思想及其现代转型 (Traditional Chinese Thought and Its Modern Transformation) 中国现代思潮与知识分子 (Modern Chinese Intellectual Trends and Intellectuals),,hongkong,香港大学_中国历史研究文学硕士.json
香港大学,气候治理与风险管理硕士,Master of Climate Governance and Risk Management,"商科,管理,商学院",专业方向: 管理 入学时间: 9月 项目时长: 1年 项目学费: 360000港币/年,具有学士学位或同等学历，不强制要求提供GMAT/GRE，但具备良好的GMAT/GRE成绩的申请者将被优先考虑,香港大学商学院和气候与碳中和研究所（ICCN）提供的气候治理与风险管理硕士是一个独特的课程，它将商业头脑与对气候科学和政策的深刻理解融为一体。其目标是通过科学、政策和商业知识的结合，为毕业生提供应对气候变化和实现碳中和所需的跨学科专业知识。该项目的跨学科学术重点体现在它与香港大学商学院和 ICCN 以及科学学院、社会科学学院、工程学院、建筑学院、法律学院和公共卫生学院的合作伙伴关系。,{{ per_lang.name }},全球生态与气候系统 (Global Ecology and Climate System) 气候国际发展与管理 (Climate International Development and Management) 气候变化政策 (Climate Change Policy) 气候数据科学与分析 (Climate Data Science and Analysis) 碳核算和环境及社会治理 (Carbon Accounting and ESG) 气候数据与遥感 (Climate Data and Remote Sensing) 气候风险与投资 (Climate Risk and Investment) 公共卫生和气候影响 (Public Health and Climate Impact) 气候变化法 (Climate Change Law) 可持续城市规划与绿色建筑 (Sustainable Urban Planning and Green Building) 气候风险和可持续性战略 (Climate risk and Sustainability Strategies),,hongkong,香港大学_气候治理与风险管理硕士.json
